"('Person', 'be', 'right')",1172
"('Person', 'say', 'anything')",1163
"('Person', 'grumble')",1161
"('Person', 'pull', 'Person')",1145
"('Person', 'lick', 'lip')",1116
"('Person', 'make', 'it')",1081
"('Person', 'allow')",1079
"('Person', 'follow')",1059
"('Person', 'open', 'door')",1055
"('Person', 'do', 'that')",1042
"('Person', 'scowl')",1036
"('Person', 'complain')",1035
"('Person', 'head')",1033
"('Person', 'suck')",1030
"('Person', 'be', 'sorry')",1021
"('Person', '’m', 'Person')",1009
"('Person', 'realise')",1007
"('Person', 'make', 'noise')",1003
"('Person', 'meet')",977
"('Person', 'be', 'glad')",972
"('Person', 'comment')",962
"('Person', 'arrive')",962
"('Person', 'wince')",953
"('Person', 'stumble')",950
"('Person', 'slip')",948
"('Person', 'grow')",946
"('Person', 'question')",938
"('Person', 'press')",936
"('Person', 'repeat')",933
"('Person', 'refuse')",925
"('Person', 'spend')",921
"('Person', 'do', 'this')",909
"('Person', 'shudder')",906
"('Person', 'choke')",905
"('Person', 'mind')",896
"('Person', 'ask', 'he')",886
"('Person', 'consider')",883
"('Person', 'appear')",878
"('Person', 'struggle')",877
"('Person', 'kiss', 'he')",872
"('Person', 'slide')",871
"('Person', 'use')",863
"('Person', 'shiver')",859
"('Person', 'place', 'hand')",856
"('Person', 'bite')",854
"('Person', 'assume')",853
"('Person', 'climb')",848
"('Person', 'be', 'ready')",842
"('Person', 'bother')",836
"('Person', 'beg')",834
"('Person', 'whimper')",834
"('Person', 'be', 'aware')",820
"('Person', 'narrow', 'eye')",805
"('Person', 'flinch')",803
"('Person', 'take', 'Person')",801
"('Person', 'kneel')",797
"('Person', 'interrupt')",796
"('Person', 'rush')",793
"('Person', 'see', 'you')",792
"('Person', 'beam')",790
"('Person', 'wink')",790
"('Person', 'be', 'tired')",779
"('Person', 'announce')",779
"('Person', 'be', 'fine')",770
"('Person', 'plan')",762
"('Person', 'be', 'close')",761
"('Person', 'muse')",751
"('Person', 'know', 'Person')",751
"('Person', 'gesture')",751
"('Person', 'shake')",749
"('Person', 'show')",733
"('Person', 'pout')",729
"('Person', 'love', 'Person')",724
"('Person', 'be', 'silent')",716
"('Person', 'purr')",715
"('Person', 'argue')",713
"('Person', 'drop')",705
"('Person', 'move', 'hand')",700
"('Person', 'cross', 'arm')",690
"('Person', 'rise')",684
"('Person', 'kiss', 'Person')",683
"('Person', 'be', 'dead')",682
"('Person', 'pretend')",679
"('Person', 'like', 'it')",679
"('Person', 'grunt')",677
"('Person', 'blurt')",673
"('Person', 'protest')",673
"('Person', 'know', 'it')",672
"('Person', 'catch')",672
"('Person', 'be', 'busy')",672
"('Person', 'pant')",667
"('Person', 'raise', 'hand')",666
"('Person', 'do', 'anything')",664
"('Person', 'get', 'it')",663
"('Person', 'tug')",662
"('Person', 'fight')",657
"('Person', 'see', 'it')",657
"('Person', 'force')",651
"('Person', 'retort')",650
"('Person', 'joke')",646
"('Person', 'shoot')",644
"('Person', 'hang')",633
"('Person', 'trail')",629
"('Person', 'be', 'afraid')",625
"('Person', 'order')",622
"('Person', 'grab', 'hand')",621
"('Person', 'let', 'sigh')",616
"('Person', 'be', 'beautiful')",613
"('Person', 'spit')",613
"('Person', 'play')",612
"('Person', 'focus')",611
"('Person', 'push', 'Person')",610
"('Person', 'watch', 'Person')",609
"('Person', 'watch', 'he')",608
"('Person', 'lift', 'head')",607
"('Person', 'make', 'sound')",606
"('Person', 'miss')",601
"('Person', 'crawl')",598
"('Person', 'run', 'finger')",597
"('Person', 'feel', 'it')",597
"('Person', 'gulp')",592
"('Person', 'collapse')",590
"('Person', 'be', 'quiet')",590
"('Person', 'apologize')",588
"('Person', 'note')",584
"('Person', 'take', 'time')",583
"('Person', 'be', 'certain')",582
"('Person', 'want', 'Person')",577
"('Person', 'flush')",570
"('Person', 'gon')",569
"('Person', 'meet', 'Person')",569
"('Person', 'put')",565
"('Person', 'smell')",563
"('Person', 'read')",561
"('Person', 'find', 'Person')",552
"('Person', 'have', 'feeling')",546
"('Person', 'slide', 'hand')",545
"('Person', 'make', 'face')",541
"('Person', 'doubt')",539
"('Person', 'choose')",536
"('Person', 'take', 'moment')",536
"('Person', 'knock')",536
"('Person', 'pass')",534
"('Person', 'warn')",531
"('Person', 'declare')",531
"('Person', 'bend')",530
"('Person', 'plead')",530
"('Person', 'dare')",529
"('Person', 'burst')",527
"('Person', 'wave')",522
"('Person', 'bring', 'hand')",521
"('Person', 'attempt')",520
"('Person', 'have', 'one')",519
"('Person', 'change')",514
"('Person', 'eat')",514
"('Person', 'sing')",511
"('Person', 'worry')",511
"('Person', 'let', 'breath')",509
"('Person', 'exhale')",508
"('Person', 'nod', 'head')",508
"('Person', 'love', 'it')",508
"('Person', 'disappear')",507
"('Person', 'sink')",503
"('Person', 'reach', 'hand')",503
"('Person', 'yawn')",503
"('Person', 'let', 'go')",499
"('Person', 'drive')",498
"('Person', 'hurry')",496
"('Person', 'confess')",494
"('Person', 'remark')",491
"('Person', 'draw')",491
"('Person', 'have', 'able')",490
"('Person', 'tell', 'they')",490
"('Person', 'gaze')",489
"('Person', 'press', 'kiss')",487
"('Person', 'pull', 'he')",487
"('Person', 'squeeze')",486
"('Person', 'see', 'he')",486
"('Person', 'tell', 'himself')",485
"('Person', 'squirm')",485
"('Person', 'relax')",483
"('Person', 'feel', 'hand')",479
"('Person', 'act')",477
"('Person', 'pick')",471
"('Person', 'greet')",469
"('Person', 'gape')",468
"('Person', 'spin')",468
"('Person', 'inhale')",466
"('Person', 'grimace')",464
"('Person', 'dream')",464
"('Person', 'sniff')",463
"('Person', 'stutter')",463
"('Person', '’ve')",462
"('Person', 'sneer')",459
"('Person', 'sob')",457
"('Person', 'lick')",454
"('Person', 'suspect')",452
"('Person', 'press', 'lip')",450
"('Person', 'squint')",450
"('Person', 'back')",449
"('Person', 'ask', 'she')",449
"('Person', 'like', 'Person')",449
"('Person', 'drawl')",447
"('Person', 'wander')",445
"('Person', 'be', 'grateful')",443
"('Person', 'know', 'that')",443
"('Person', 'open')",443
"('Person', 'scramble')",442
"('Person', 'be', 'nervous')",441
"('Person', 'bet')",440
"('Person', 'shuffle')",437
"('Person', 'fail')",435
"('Person', 'straighten')",434
"('Person', 'love', 'he')",432
"('Person', 'pay', 'attention')",431
"('Person', 'lift', 'hand')",431
"('Person', 'hear', 'Person')",431
"('Person', 'inquire')",430
"('Person', 'be', 'old')",429
"('Person', 'take', 'care')",427
"('Person', 'be', 'wrong')",425
"('Person', 'be', 'first')",424
"('Person', 'peer')",424
"('Person', 'snicker')",424
"('Person', 'coo')",423
"('Person', 'grab')",423
"('Person', 'be', 'angry')",420
"('Person', 'meet', 'eye')",420
"('Person', 'stretch')",418
"('Person', 'close', 'door')",417
"('Person', 'be', 'proud')",416
"('Person', 'get', 'Person')",415
"('Person', 'follow', 'Person')",414
"('Person', 'be', 'more')",413
"('Person', 'enjoy')",412
"('Person', 'do', 'thing')",411
"('Person', 'fuck')",411
"('Person', 'snarl')",410
"('Person', 'pull', 'hand')",409
"('Person', 'wave', 'hand')",406
"('Person', 'curse')",405
"('Person', 'grab', 'Person')",404
"('Person', 'need', 'you')",403
"('Person', 'yelp')",402
"('Person', 'be', 'worried')",401
"('Person', 'have', 'hair')",401
"('Person', 'write')",401
"('Person', 'stammer')",400
"('Person', 'dance')",400
"('Person', 'win')",399
"('Person', 'want', 'you')",399
"('Person', 'curl')",392
"('Person', 'squeeze', 'hand')",389
"('Person', 'rub')",385
"('Person', 'call', 'Person')",385
"('Person', 'deal')",384
"('Person', 'kiss', 'she')",382
"('Person', 'need', 'Person')",380
"('Person', 'mean', 'it')",378
"('Person', 'take', 'seat')",378
"('Person', 'push', 'himself')",373
"('Person', 'say', 'it')",372
"('Person', 'help', 'it')",371
"('Person', 'raise', 'brow')",371
"('Person', 'stiffen')",371
"('Person', 'taste')",370
"('Person', 'cough')",370
"('Person', 'miss', 'you')",368
"('Person', 'have', 'thing')",368
"('Person', 'bury', 'face')",368
"('Person', 'be', 'lucky')",366
"('Person', 'have', 'eye')",365
"('Person', 'check')",364
"('Person', 'have', 'lot')",364
"('Person', 'be', 'alone')",364
"('Person', 'feel', 'Person')",364
"('Person', 'spend', 'time')",363
"('Person', 'keep', 'eye')",362
"('Person', 'be', 'asleep')",362
"('Person', 'do', 'best')",361
"('Person', 'tend')",361
"('Person', 'be', 'hard')",359
"('Person', 'mention')",359
"('Person', 'have', 'hand')",358
"('Person', 'give', 'nod')",358
"('Person', 'wan')",357
"('Person', 'deserve')",357
"('Person', 'hate', 'it')",355
"('Person', 'be', 'excited')",352
