"('Person', 'get', 'it')",662
"('Person', 'give', 'look')",662
"('Person', 'meet', 'Person')",660
"('Person', 'be', 'old')",659
"('Person', 'make', 'it')",656
"('Person', 'know', 'it')",651
"('Person', 'finish')",645
"('Person', 'break')",638
"('Person', 'drink')",638
"('Person', 'be', 'quiet')",637
"('Person', 'struggle')",637
"('Person', 'find', 'Person')",636
"('Person', 'disappear')",634
"('Person', 'suspect')",629
"('Person', 'mutter')",620
"('Person', 'announce')",616
"('Person', 'knock')",614
"('Person', 'bend')",609
"('Person', 'be', 'tired')",608
"('Person', 'wave')",604
"('Person', 'peer')",598
"('Person', 'see', 'she')",594
"('Person', 'become', 'Person')",591
"('Person', 'say', 'nothing')",590
"('Person', 'clear', 'throat')",584
"('Person', 'end')",579
"('Person', 'settle')",575
"('Person', 'murmur')",571
"('Person', 'dream')",569
"('Person', 'hurry')",568
"('Person', 'chuckle')",566
"('Person', 'demand')",564
"('Person', 'make', 'way')",561
"('Person', 'rush')",560
"('Person', 'pray')",554
"('Person', 'tell', 'we')",551
"('Person', 'complain')",550
"('Person', 'plan')",548
"('Person', 'smell')",547
"('Person', 'watch', 'Person')",547
"('Person', 'be', 'ready')",547
"('Person', 'gesture')",546
"('Person', 'bet')",544
"('Person', 'set')",544
"('Person', 'want', 'Person')",540
"('Person', 'shake', 'hand')",539
"('Person', 'do', 'this')",537
"('Person', 'raise', 'hand')",537
"('Person', 'claim')",537
"('Person', 'roll')",534
"('Person', 'like', 'it')",531
"('Person', 'score')",527
"('Person', 'snap')",526
"('Person', 'hear', 'Person')",526
"('Person', 'fight')",524
"('Person', 'mind')",521
"('Person', 'be', 'certain')",521
"('Person', 'squint')",521
"('Person', 'realise')",519
"('Person', 'drop')",517
"('Person', 'choose')",517
"('Person', 'pay')",512
"('Person', 'get', 'Person')",511
"('Person', 'see', 'you')",510
"('Person', 'be', 'grateful')",504
"('Person', 'be', 'young')",503
"('Person', 'love', 'you')",502
"('Person', 'wear')",501
"('Person', 'ride')",494
"('Person', 'have', 'one')",490
"('Person', 'have', 'nothing')",487
"('Person', 'fly')",485
"('Person', 'put', 'it')",485
"('Person', 'recall')",481
"('Person', 'do', 'anything')",479
"('Person', 'hear', 'voice')",478
"('Person', 'tell', 'story')",472
"('Person', 'emerge')",470
"('Person', 'raise', 'eyebrow')",467
"('Person', 'know', 'that')",463
"('Person', 'ask', 'question')",461
"('Person', 'shake')",461
"('Person', 'shoot')",461
"('Person', 'be', 'angry')",458
"('Person', 'love', 'Person')",458
"('Person', 'pick')",457
"('Person', 'wander')",455
"('Person', 'stumble')",455
"('Person', 'catch')",454
"('Person', 'do', 'thing')",453
"('Person', 'be', 'sorry')",453
"('Person', 'travel')",452
"('Person', '’ve')",447
"('Person', 'like', 'Person')",447
"('Person', 'tell', 'myself')",447
"('Person', 'argue')",445
"('Person', 'close', 'door')",444
"('Person', 'kiss')",443
"('Person', '’re', 'Person')",441
"('Person', 'discover')",439
"('Person', 'put', 'arm')",439
"('Person', 'apologize')",437
"('Person', 'swallow')",434
"('Person', 'act')",434
"('Person', 'be', 'pleased')",432
"('Person', 'doubt')",429
"('Person', 'bring')",429
"('Person', 'take', 'he')",423
"('Person', 'say', 'something')",423
"('Person', 'check')",422
"('Person', 'fear')",422
"('Person', 'be', 'asleep')",421
"('Person', 'send')",421
"('Person', 'be', 'busy')",420
"('Person', 'sense')",420
"('Person', 'see', 'they')",419
"('Person', 'shift')",419
"('Person', 'draw')",418
"('Person', 'be', 'fine')",416
"('Person', 'have', 'feeling')",413
"('Person', 'gasp')",413
"('Person', 'be', 'interested')",410
"('Person', 'change')",410
"('Person', 'turn', 'head')",407
"('Person', 'watch', 'he')",404
"('Person', 'take', 'care')",404
"('Person', 'say', 'it')",403
"('Person', 'snort')",400
"('Person', 'roll', 'eye')",399
"('Person', 'miss')",397
"('Person', 'bother')",397
"('Person', 'leave', 'Person')",396
"('Person', 'open', 'mouth')",395
"('Person', 'weep')",395
"('Person', 'feel', 'it')",389
"('Person', 'have', 'it')",385
"('Person', 'exclaim')",382
"('Person', 'take', 'she')",382
"('Person', 'slide')",381
"('Person', 'carry')",380
